Provider_Org,Member_SSN,MRN,Name,Address_Line_1,Address_Line_2,City,State,Zip_Code,Home_Phone,Organ_Donor
ExactData Medical Health System,830-00-0095,8135045137,Dylan Tyrone Morgan,4520 Seppala Drive,,Fairburn,GA,30213,(716) 441-6817,n
ExactData Medical Health System,000-96-7726,9371118571,Robert Abdul Lara,7976 Browning Drive,,Atlanta,GA,31126,(316) 677-4057,n
ExactData Medical Health System,872-77-0000,3773467223,Jordan Stewart Walker,7382 Cindylee Lane,,Atlanta,GA,30380,(432) 691-3249,n
ExactData Medical Health System,596-00-6027,2304505332,Murphy Amal Goodman,1479 Woodridge Circle,,Atlanta,GA,30381,(862) 543-3089,n
ExactData Medical Health System,018-00-3376,9695282744,Aileen Mercedes Nieves,4114 Sunflower Street,,Atlanta,GA,30337,(314) 830-4823,n
ExactData Medical Health System,666-15-1406,5431166946,Lane Tarik Rojas,6836 Belarde Avenue,,Atlanta,GA,30365,(928) 563-2301,n
ExactData Medical Health System,000-33-0124,8421852046,Hyatt Tucker Bond,191844 Susan Court,,Fairburn,GA,30213,(617) 320-2598,n
ExactData Medical Health System,000-23-2359,6794870526,Ignacia Summer Donovan,4623 Ward Place,,Palmetto,GA,30268,(574) 748-6481,n
ExactData Medical Health System,666-65-5553,5237498212,Alisa Phoebe Garner,9085 Hyannis Circle,,Atlanta,GA,30308,(620) 710-0315,n
ExactData Medical Health System,000-94-9115,3785204291,Chelsea Hilda Shaffer,7153 Summerset Drive,,Atlanta,GA,30389,(904) 634-5597,n
ExactData Medical Health System,371-00-8251,7407230631,Jakeem Colin Haney,6095 Brentwood Circle,,Alpharetta,GA,30005,(574) 207-8320,n
ExactData Medical Health System,297-00-7842,6587386411,Timon Lee Macias,8912 Noblewood Street,,Alpharetta,GA,30005,(928) 842-1796,n
ExactData Medical Health System,666-52-2513,9219333582,Nolan Jesse Booth,4501 Park Place Street,,Atlanta,GA,30343,(228) 309-6371,n
ExactData Medical Health System,666-34-9098,3628166600,Carson Kadeem Malone,6414 Muir Court,,Atlanta,GA,30364,(864) 663-2256,n
ExactData Medical Health System,000-60-7885,1699516199,Anthony Michael Sears,4739 Travis Lane,,Red Oak,GA,30272,(210) 312-9978,n
ExactData Medical Health System,083-00-3009,1932559901,Harrison Timothy Huffman,169896 Seaforth Street,,Atlanta,GA,30316,(325) 308-7769,n
ExactData Medical Health System,000-58-1657,2377179532,Axel Zachery Alford,1174 Shenandoah Place,,Atlanta,GA,30368,(570) 541-5667,n
ExactData Medical Health System,000-59-2301,6728657581,Veda Rhonda Leon,5634 West 51st Circle,,Roswell,GA,30077,(361) 824-6446,n
ExactData Medical Health System,000-85-4713,9252369400,Tatum Rama Vega,164571 Troy Street,,Atlanta,GA,30370,(412) 316-0609,n
ExactData Medical Health System,000-29-9742,6986085737,Martha Laurel Michael,3540 Woronzof Drive,,Atlanta,GA,31139,(512) 495-6010,n
ExactData Medical Health System,544-47-0000,7411566239,Palmer Rajah Barrera,979525 Ricky Way,,Atlanta,GA,30332,(201) 719-0000,n
ExactData Medical Health System,941-00-1175,8770382161,Linus Logan Adams,8053 Old Cranberry Drive,,Atlanta,GA,30386,(423) 344-5685,n
ExactData Medical Health System,666-69-0085,4297729184,Venus Bianca Mccall,1223 Giddeon Circle,,Atlanta,GA,30302,(304) 322-9326,n
ExactData Medical Health System,461-85-0000,3522276813,Tanner Keaton Horton,229 Phillips Street,,Atlanta,GA,30344,(817) 779-0216,n
ExactData Medical Health System,000-11-3209,6367376017,Destiny Abigail Gay,742 Wenmatt Circle,,Atlanta,GA,30318,(323) 457-1236,n
ExactData Medical Health System,000-42-4272,3945125281,Victor Edward Carter,6073 Lindy Lane,,Atlanta,GA,30306,(480) 494-5623,n
ExactData Medical Health System,666-11-5752,6213333025,Sydney Lucy Castillo,8106 Pinebrook Circle,,Roswell,GA,30075,(701) 472-7307,n
ExactData Medical Health System,864-99-0000,4838252410,Tanner Edward Gaines,480457 Algarin Circle,,Atlanta,GA,30370,(719) 592-5705,n
ExactData Medical Health System,140-00-9875,2819745848,Quail Gloria Daugherty,592 Elmhurst Circle,,Atlanta,GA,31126,(470) 586-1309,n
ExactData Medical Health System,202-00-2214,4525871651,Robin Catherine Mendez,913162 Captain Cook Drive,,Atlanta,GA,30349,(860) 819-0496,n
ExactData Medical Health System,263-00-9412,8088108618,Paul Graham Acosta,5539 Oak Drive,,Atlanta,GA,30387,(641) 538-2749,n
ExactData Medical Health System,666-35-1572,1002649375,September Rana Gentry,4095 Lake Shore Drive,,Atlanta,GA,30387,(318) 694-7200,n
ExactData Medical Health System,000-00-1751,8715979872,Dillon Sylvester Bolton,7781 M Court,,Atlanta,GA,30325,(856) 854-2885,n
ExactData Medical Health System,655-65-0000,5039582794,Madaline Bree Pittman,6177 Klamath Falls Lane,,Atlanta,GA,30357,(202) 324-7241,n
ExactData Medical Health System,666-20-6785,4607230743,Hall Acton Cortez,635 Hemlock Circle,,Atlanta,GA,31150,(423) 368-2511,n
ExactData Medical Health System,666-06-3881,1417912603,Brody Addison Molina,7718 Byron Drive,,Atlanta,GA,30353,(234) 516-0794,n
ExactData Medical Health System,666-10-4226,4980299762,Ralph Erich Bauer,9356 Lunar Drive,,Atlanta,GA,30316,(785) 204-8076,n
ExactData Medical Health System,666-80-4859,8320773992,Seth Ethan Norris,4214 Birch Trail Circle,,Atlanta,GA,30379,(313) 804-1892,n
ExactData Medical Health System,560-00-1244,2850998485,Buckminster Jack Barrera,94515 Seton Circle,,Atlanta,GA,30330,(731) 871-8588,n
ExactData Medical Health System,000-56-9868,6977233636,Nicole Sara Reyes,162968 Bear Ridge Circle,,Atlanta,GA,30315,(205) 769-9414,n
ExactData Medical Health System,420-00-6922,9074118450,Jerry Jared Mcknight,5637 Pinnacle Circle,,Atlanta,GA,30318,(740) 713-5160,n
ExactData Medical Health System,666-44-1365,7214700779,Clarke Aladdin Sheppard,249 Tree Top Circle,,Atlanta,GA,30320,(310) 833-2115,n
ExactData Medical Health System,103-00-8409,5781451144,Lois Aimee Blake,7280 Dimond Estates Trailer Court,,Atlanta,GA,30398,(760) 381-4642,n
ExactData Medical Health System,412-14-0000,8929765674,Malik Vance Rice,3201 Seawolf Drive,,Atlanta,GA,30381,(248) 554-2539,n
ExactData Medical Health System,000-09-1957,8202938443,Bertha Kevyn Gutierrez,804922 Mountain Lake Drive,,Atlanta,GA,30302,(515) 539-5723,n
ExactData Medical Health System,666-39-9414,4410070921,Tobias Stephen Adams,203512 Tangle Court,,Atlanta,GA,31198,(281) 471-9524,n
ExactData Medical Health System,335-00-6765,4693233269,Levi Ferris Wilkins,3451 Windy Circle,,Atlanta,GA,30336,(831) 311-7794,n
ExactData Medical Health System,013-00-3589,3364805078,Randall Carson Greene,8996 Topaz Street,,Atlanta,GA,30381,(651) 210-3898,n
ExactData Medical Health System,000-76-9867,9722410685,Edan Aristotle Bird,8658 Thomas Road,,Atlanta,GA,30323,(541) 892-0210,n
ExactData Medical Health System,955-75-0000,9642386562,Dustin Cain Beard,369839 Ridgeway Avenue,,Atlanta,GA,30370,(518) 387-4463,n
ExactData Medical Health System,207-70-0000,4200948293,Kathleen Orli Reese,9993 Quasar Drive,,Alpharetta,GA,30009,(205) 204-0824,n
ExactData Medical Health System,000-54-8792,7316085408,Georgia Ruth Fitzgerald,4218 Timberlane Drive,,Fairburn,GA,30213,(734) 871-3368,n
ExactData Medical Health System,117-30-0000,9988958332,Nathaniel Bradley Mccray,3991 Orchard Place,,Atlanta,GA,31150,(716) 275-0509,n
ExactData Medical Health System,666-17-2130,3995474113,Denise Lesley Mayo,7962 Melana Circle,,Atlanta,GA,30344,(903) 731-2151,n
ExactData Medical Health System,000-65-8333,6833997507,Colt Channing Morton,823365 Mile Hi Way,,Atlanta,GA,30369,(252) 829-1663,n
ExactData Medical Health System,666-17-0853,3646365192,Travis Ryan Gomez,3091 Nix Court,,Atlanta,GA,30337,(301) 291-5095,n
ExactData Medical Health System,067-43-0000,8324050942,James Brent Lynch,8697 West 91st Avenue,,Union City,GA,30291,(707) 448-3226,n
ExactData Medical Health System,787-96-0000,9069684442,Rowan Quinn Gray,2495 Juniper Street,,Atlanta,GA,30358,(956) 636-4113,n
ExactData Medical Health System,802-00-1361,4749166538,Alyssa Dahlia Justice,4647 Arlington Drive North,,Atlanta,GA,30316,(949) 247-7211,n
ExactData Medical Health System,666-84-9638,5094532519,Maryam Eleanor Case,2133 Stephanie Circle,,Atlanta,GA,30386,(405) 555-8758,n
ExactData Medical Health System,450-00-8965,1524004435,Thaddeus Elliott Haynes,668 Laura Circle,,Atlanta,GA,30301,(845) 787-8575,n
ExactData Medical Health System,714-00-9070,6110664681,Hedwig Sarah Haynes,668 Laura Circle,,Atlanta,GA,30301,(845) 787-8575,n
ExactData Medical Health System,000-13-6865,3782845853,Nina Uma Holloway,9259 Dogwood Street,,Atlanta,GA,30380,(561) 338-7913,n
ExactData Medical Health System,666-63-8286,4028579418,Yen Wyoming Lancaster,3952 Donnie Drive,,Atlanta,GA,30384,(845) 205-1589,n
ExactData Medical Health System,050-77-0000,9691721254,Bradley Arden Sheppard,611029 Haricot Drive,,Atlanta,GA,31139,(754) 805-6622,n
ExactData Medical Health System,492-95-0000,1422512446,Nina Dorothy Jordan,5217 Valley Brook Circle,,Atlanta,GA,30349,(415) 546-0473,n
ExactData Medical Health System,725-21-0000,8887833135,Cleo Maile Sexton,7561 Talkeetna Street,,Atlanta,GA,30316,(808) 820-0629,n
ExactData Medical Health System,666-83-6691,6982769530,Wade Raja Rodriquez,1909 East Street,,Atlanta,GA,30377,(850) 891-5699,n
ExactData Medical Health System,578-00-7262,8156045606,Moses Herman Luna,6348 Maylen Circle,,Atlanta,GA,31199,(339) 737-2326,n
ExactData Medical Health System,000-26-6513,9213421969,Ralph Kasper Zimmerman,498 George Court,,Atlanta,GA,31131,(903) 803-6962,n
ExactData Medical Health System,931-55-0000,7049343474,Clayton Salvador Brock,1919 Shoshoni Avenue,,Atlanta,GA,30379,(605) 724-4934,n
ExactData Medical Health System,250-45-0000,8449608079,Warren Uriah Maxwell,9486 Toilsome Hill Drive,,Atlanta,GA,30367,(415) 760-0736,n
ExactData Medical Health System,224-59-0000,6935690060,Grace Nichole Parsons,7657 Saint Johns Drive,,Atlanta,GA,30389,(856) 571-0501,n
ExactData Medical Health System,000-19-9767,6065283360,Alma Lavinia Deleon,7367 Platsek Drive,,Atlanta,GA,30314,(712) 294-0289,n
ExactData Medical Health System,000-17-1598,6504611279,Wade Rajah Kidd,7999 Diomede Street,,Atlanta,GA,30336,(802) 502-2188,n
ExactData Medical Health System,852-00-1866,3614295946,Ross Erasmus Bowen,6919 East Dimond Boulevard,,Atlanta,GA,30351,(606) 834-9756,n
ExactData Medical Health System,666-98-7316,8337641651,Zahir Melvin Blankenship,5073 Fairweather Place,,Atlanta,GA,31107,(617) 263-8600,n
ExactData Medical Health System,000-95-8551,8586167868,Ingrid Willa Kidd,7999 Diomede Street,,Atlanta,GA,30336,(802) 502-2188,n
