Payer_Org,Member_ID,Member_SSN,Name_First,MI,Name_Last,Mother_Maiden_Name,Title,DOB,Gender,Race,Ethnicity,Marital_Status,Relationship,Job,Address_Line_1,Address_Line_2,City,State,Zip_Code,Home_Phone,Work_Phone,Emergency_Phone,Emergency_Contact,Econtact_Relationship,Advance_Directive,Organ_Donor,Other_Health_Ins,HasAllergy,Blood_Type
TRICARE,090450000-01,090-45-0000,Clinton,V,Franklin,,Mr.,08/07/1959,male,White,Irish,Legally Separated,Self,Negotiator,3129 Chilkat Court,,Atlanta,GA,30388,(309) 758-8613,(951) 478-3677,(571) 429-0578,Rigel Salvador Waller,Friend,Antibiotics,n,no,False,A+
TRICARE,052000568-01,052-00-0568,Nicholas,Y,Holloway,,Mr.,03/12/1958,male,White,Norwegian,Married,Self,Composer,6832 West Hoteco Avenue,,Atlanta,GA,30323,(805) 509-0517,(775) 236-1265,(805) 509-0517,Alma Althea Holloway,Spouse,CPR,n,no,False,A+
TRICARE,052000568-02,764-85-0000,Alma,A,Holloway,,Mrs.,01/30/1964,female,White,Russian,Married,Wife,Podiatrist,6832 West Hoteco Avenue,,Atlanta,GA,30323,(805) 509-0517,(334) 321-7337,(805) 509-0517,Nicholas Yuli Holloway,Spouse,CPR,n,no,False,A+
TRICARE,333001307-01,333-00-1307,Amery,W,Mcdowell,,Mr.,12/29/1963,male,Black,African American,Divorced,Self,Publisher,614284 Young Drive,,Atlanta,GA,30398,(567) 335-8323,(617) 886-4225,(601) 702-8653,Benjamin Chaim Vinson,Friend,Antibiotics,n,no,False,O+
TRICARE,000050471-01,000-05-0471,Blaine,N,Bradley,,Mr.,03/22/1963,male,White,Italian,Divorced,Self,Secret Service Agent,6187 Posiedon Drive,,Atlanta,GA,30326,(989) 516-1896,(314) 400-5412,(406) 852-1185,Vielka Stephanie Duran,Friend,Intubation,n,no,False,A+
TRICARE,882003310-01,882-00-3310,Quintessa,R,Williamson,,Mrs.,03/11/1969,female,White,English,Legally Separated,Self,Information Designer,6528 East 94th Court,,Atlanta,GA,31191,(302) 282-3135,(210) 783-7065,(765) 309-0254,Castor Isaiah Nolan,Friend,Antibiotics,n,no,False,O+
TRICARE,000382751-01,000-38-2751,Lars,E,Harper,,Mr.,08/05/1956,male,White,Polish,Divorced,Self,Reporter,6909 Dover Avenue,,Atlanta,GA,31191,(678) 635-8670,(713) 660-1955,(570) 372-2001,Denton Warren Hamilton,Friend,Intubation,n,no,False,O+
TRICARE,666888721-01,666-88-8721,Chastity,T,Hinton,,Mrs.,08/27/1957,female,White,Irish,Married,Self,Vicar,5896 Sprint Circle,,Atlanta,GA,30349,(208) 735-5966,(970) 826-7939,(208) 735-5966,Akeem Castor Hinton,Spouse,CPR,n,no,False,O+
TRICARE,666888721-02,666-95-3642,Akeem,C,Hinton,,Mr.,07/06/1961,male,White,French Canadian,Married,Husband,Street Sweeper,5896 Sprint Circle,,Atlanta,GA,30349,(208) 735-5966,(703) 853-7424,(208) 735-5966,Chastity Tatiana Hinton,Spouse,CPR,n,no,False,B+
TRICARE,000138144-01,000-13-8144,Shelley,E,Curry,,Ms.,11/11/1969,female,White,German,Single,Self,Flight Attendant,4737 South View Drive,,Atlanta,GA,31106,(870) 488-1553,(218) 721-5409,(707) 442-0369,Hedley Ivor Hopper,Friend,Resuscitation,n,no,False,O+
TRICARE,894010000-01,894-01-0000,Solomon,C,Page,,Mr.,05/20/1960,male,White,English,Divorced,Self,Curator,370 Zermatt Avenue,,Atlanta,GA,30308,(978) 838-9278,(252) 840-3534,(740) 307-0364,Forrest Travis Whitaker,Friend,Resuscitation,n,no,False,O+
TRICARE,666317375-01,666-31-7375,Nita,J,Bell,,Ms.,01/05/1968,female,White,Italian,Single,Self,Jeweler,3433 Wildwater Circle,,Red Oak,GA,30272,(210) 234-9203,(205) 249-0014,(651) 213-5337,Lucy Tasha Velasquez,Friend,Intubation,n,no,False,A+
TRICARE,000367227-01,000-36-7227,John,W,Robinson,,Mr.,10/02/1976,male,Black,Mexican,Single,Self,Street Sweeper,1282 Wranglers Way,,Atlanta,GA,30367,(586) 360-8276,(419) 608-5816,(409) 371-3607,Aimee Amy Nash,Friend,Antibiotics,n,no,False,O+
TRICARE,771130000-01,771-13-0000,Indigo,K,Moses,,Mrs.,09/09/1965,female,White,Austrian,Legally Separated,Self,Dog Walker,1622 Glacier Terrace Trailer Court,,Alpharetta,GA,30022,(201) 404-8454,(918) 239-4474,(908) 578-1022,Nissim Kennedy Simon,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,000457683-01,000-45-7683,Victor,K,Gomez,,Mr.,03/14/1951,male,White,English,Single,Self,Mason,5640 Tedrow Drive,,Atlanta,GA,31195,(508) 763-0979,(760) 833-5596,(360) 285-6917,Vanna Yvonne Meadows,Friend,CPR,n,no,False,A+
TRICARE,830000095-01,830-00-0095,Dylan,T,Morgan,,Mr.,08/30/1947,male,White,French,Legally Separated,Self,Herder,4520 Seppala Drive,,Fairburn,GA,30213,(716) 441-6817,(941) 508-8975,(517) 630-8639,Wayne Carl Koch,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,666151406-01,666-15-1406,Lane,T,Rojas,,Mr.,02/01/1974,male,White,English,Single,Self,Fitter,6836 Belarde Avenue,,Atlanta,GA,30365,(928) 563-2301,(801) 790-0859,(281) 892-8648,Brooke Hedy Wilkins,Friend,Resuscitation,n,no,False,A+
TRICARE,000967726-01,000-96-7726,Robert,A,Lara,,Mr.,10/06/1971,male,Black,African American,Single,Self,Courier,7976 Browning Drive,,Atlanta,GA,31126,(316) 677-4057,(212) 454-6721,(269) 648-5193,Caryn Amaya Alston,Friend,CPR,n,no,False,A+
TRICARE,872770000-01,872-77-0000,Jordan,S,Walker,,Mr.,11/17/1958,male,White,German,Legally Separated,Self,Tanner,7382 Cindylee Lane,,Atlanta,GA,30380,(432) 691-3249,(760) 862-0106,(978) 775-6688,Briar Wendy Davis,Friend,Intubation,n,no,False,A-
TRICARE,596006027-01,596-00-6027,Murphy,A,Goodman,,Mr.,01/26/1955,male,Asian,Hawaiian,Divorced,Self,Customs Officer,1479 Woodridge Circle,,Atlanta,GA,30381,(862) 543-3089,(615) 699-8938,(802) 433-8098,Gisela Chantale Lindsay,Friend,Resuscitation,n,no,False,B+
TRICARE,018003376-01,018-00-3376,Aileen,M,Nieves,,Ms.,06/13/1951,female,White,German,Single,Self,Social Worker,4114 Sunflower Street,,Atlanta,GA,30337,(314) 830-4823,(209) 602-2087,(864) 570-7384,Jolene Haley Gutierrez,Friend,Antibiotics,n,no,False,A-
TRICARE,000330124-01,000-33-0124,Hyatt,T,Bond,,Mr.,04/14/1976,male,White,Irish,Single,Self,Graphic Designer,191844 Susan Court,,Fairburn,GA,30213,(617) 320-2598,(319) 330-7940,(414) 461-6012,Shoshana Jael Garza,Friend,Intubation,n,no,False,A+
TRICARE,000232359-01,000-23-2359,Ignacia,S,Donovan,,Ms.,02/02/1963,female,Black,African American,Single,Self,Dog Walker,4623 Ward Place,,Palmetto,GA,30268,(574) 748-6481,(914) 299-8222,(765) 467-9067,Felicia Lynn Clements,Friend,Resuscitation,n,no,False,O+
TRICARE,083003009-01,083-00-3009,Harrison,T,Huffman,,Mr.,11/28/1981,male,White,Dominican,Single,Self,Musician,169896 Seaforth Street,,Atlanta,GA,30316,(325) 308-7769,(510) 723-9573,(908) 330-5321,Maggy Quon Petty,Friend,Antibiotics,n,no,False,O+
TRICARE,666655553-01,666-65-5553,Alisa,P,Garner,,Ms.,06/22/1955,female,Asian,Chinese,Single,Self,Sawmill Worker,9085 Hyannis Circle,,Atlanta,GA,30308,(620) 710-0315,(863) 801-1662,(618) 325-3595,Miriam Donna Ross,Friend,Resuscitation,n,no,False,A+
TRICARE,000949115-01,000-94-9115,Chelsea,H,Shaffer,,Mrs.,07/18/1970,female,White,Irish,Legally Separated,Self,Author,7153 Summerset Drive,,Atlanta,GA,30389,(904) 634-5597,(786) 346-1278,(340) 242-9177,Francis John Vaughn,Friend,Antibiotics,n,no,False,O+
TRICARE,371008251-01,371-00-8251,Jakeem,C,Haney,,Mr.,07/22/1955,male,White,Bohemian,Single,Self,System Administrator,6095 Brentwood Circle,,Alpharetta,GA,30005,(574) 207-8320,(719) 775-7372,(602) 509-1738,Sybil Shafira Cobb,Friend,Resuscitation,n,no,True,A+
TRICARE,297007842-01,297-00-7842,Timon,L,Macias,,Mr.,10/25/1968,male,Black,African American,Single,Self,Gun Smith,8912 Noblewood Street,,Alpharetta,GA,30005,(928) 842-1796,(916) 881-4454,(806) 507-4336,Minerva Maxine Freeman,Friend,Antibiotics,n,no,False,A+
TRICARE,666522513-01,666-52-2513,Nolan,J,Booth,,Mr.,02/07/1967,male,Asian,Hmong,Legally Separated,Self,Trader,4501 Park Place Street,,Atlanta,GA,30343,(228) 309-6371,(952) 869-0405,(915) 514-8691,Nicholas Dylan James,Friend,Intubation,n,no,False,A-
TRICARE,666349098-01,666-34-9098,Carson,K,Malone,,Mr.,03/14/1974,male,White,Portuguese,Divorced,Self,Librarian,6414 Muir Court,,Atlanta,GA,30364,(864) 663-2256,(360) 671-6294,(352) 794-5473,Leonard William Bass,Friend,Antibiotics,n,no,False,O+
TRICARE,000607885-01,000-60-7885,Anthony,M,Sears,,Mr.,06/08/1954,male,White,German,Single,Self,Shoemaker,4739 Travis Lane,,Red Oak,GA,30272,(210) 312-9978,(603) 227-5743,(210) 768-4562,Camilla Ora Cox,Friend,IV Fluid and Support,n,no,False,A-
TRICARE,000581657-01,000-58-1657,Axel,Z,Alford,,Mr.,02/16/1973,male,Black,African American,Single,Self,Monk,1174 Shenandoah Place,,Atlanta,GA,30368,(570) 541-5667,(786) 470-1149,(256) 640-7302,Britanni Idona Small,Friend,Resuscitation,n,no,False,O+
TRICARE,000592301-01,000-59-2301,Veda,R,Leon,,Ms.,06/18/1972,female,White,Russian,Single,Self,Sound Engineer,5634 West 51st Circle,,Roswell,GA,30077,(361) 824-6446,(340) 555-8072,(715) 856-5211,Walker Baker Weeks,Friend,Life Support,n,no,False,A+
TRICARE,000854713-01,000-85-4713,Tatum,R,Vega,,Mrs.,09/19/1971,female,White,Italian,Legally Separated,Self,Heavy Equipment Operator,164571 Troy Street,,Atlanta,GA,30370,(412) 316-0609,(254) 513-4408,(585) 363-7995,Teegan Madison Mcmahon,Friend,IV Fluid and Support,n,no,False,A-
TRICARE,000299742-01,000-29-9742,Martha,L,Michael,,Mrs.,07/21/1972,female,Black,African American,Legally Separated,Self,Gamekeeper,3540 Woronzof Drive,,Atlanta,GA,31139,(512) 495-6010,(920) 847-9278,(401) 584-2049,Louis Paul Hickman,Friend,Resuscitation,n,no,False,O-
TRICARE,544470000-01,544-47-0000,Palmer,R,Barrera,,Mr.,08/29/1967,male,White,Polish,Single,Self,Presenter,979525 Ricky Way,,Atlanta,GA,30332,(201) 719-0000,(857) 203-6219,(402) 280-4657,Xanthus Talon Lancaster,Friend,Antibiotics,n,no,False,O-
TRICARE,941001175-01,941-00-1175,Linus,L,Adams,,Mr.,05/02/1976,male,White,English,Single,Self,Personal Trainer,8053 Old Cranberry Drive,,Atlanta,GA,30386,(423) 344-5685,(508) 620-4190,(985) 649-9350,Xerxes Irene Booth,Friend,Life Support,n,no,False,O+
TRICARE,666690085-01,666-69-0085,Venus,B,Mccall,,Ms.,10/18/1978,female,White,French,Single,Self,Author,1223 Giddeon Circle,,Atlanta,GA,30302,(304) 322-9326,(404) 402-6530,(417) 666-0805,Kyle Dakota Avery,Friend,Antibiotics,n,no,False,O+
TRICARE,461850000-01,461-85-0000,Tanner,K,Horton,,Mr.,12/14/1964,male,White,German,Legally Separated,Self,Secretary,229 Phillips Street,,Atlanta,GA,30344,(817) 779-0216,(270) 333-1558,(480) 317-6278,Chase Tate Mayer,Friend,Antibiotics,n,no,False,O+
TRICARE,000113209-01,000-11-3209,Destiny,A,Gay,,Mrs.,01/31/1963,female,White,Egyptian,Widowed,Self,Painter,742 Wenmatt Circle,,Atlanta,GA,30318,(323) 457-1236,(408) 732-2007,(352) 716-1892,Honorato Jamal Willis,Friend,Resuscitation,n,no,False,A+
TRICARE,000424272-01,000-42-4272,Victor,E,Carter,,Mr.,11/11/1948,male,Asian Indian,Indian,Divorced,Self,Sail Maker,6073 Lindy Lane,,Atlanta,GA,30306,(480) 494-5623,(209) 666-5697,(435) 608-0295,Uriel Mark Haney,Friend,Antibiotics,n,no,False,O+
TRICARE,666115752-01,666-11-5752,Sydney,L,Castillo,,Ms.,12/28/1981,female,White,Dutch,Single,Self,Corrector,8106 Pinebrook Circle,,Roswell,GA,30075,(701) 472-7307,(330) 240-7027,(586) 890-0997,Brennan Dieter Good,Friend,Antibiotics,n,no,False,A+
TRICARE,864990000-01,864-99-0000,Tanner,E,Gaines,,Mr.,05/16/1952,male,White,Italian,Legally Separated,Self,Gamekeeper,480457 Algarin Circle,,Atlanta,GA,30370,(719) 592-5705,(307) 650-9648,(432) 329-9350,Ethan Brock Wood,Friend,Life Support,n,no,False,O+
TRICARE,140009875-01,140-00-9875,Quail,G,Daugherty,,Ms.,07/05/1963,female,White,Dutch,Single,Self,Gastroenterologist,592 Elmhurst Circle,,Atlanta,GA,31126,(470) 586-1309,(234) 679-2440,(561) 629-4443,Martena Kelly Craft,Friend,Antibiotics,n,no,False,A+
TRICARE,202002214-01,202-00-2214,Robin,C,Mendez,,Ms.,07/25/1950,female,White,Mexican,Single,Self,Nanny,913162 Captain Cook Drive,,Atlanta,GA,30349,(860) 819-0496,(319) 624-4915,(936) 306-5190,Azalia Winter Alford,Friend,Life Support,n,no,False,A+
TRICARE,263009412-01,263-00-9412,Paul,G,Acosta,,Mr.,05/03/1980,male,White,Irish,Single,Self,Cook,5539 Oak Drive,,Atlanta,GA,30387,(641) 538-2749,(848) 871-6272,(702) 577-5394,Patience Irene Wall,Friend,IV Fluid and Support,n,no,False,A+
TRICARE,666351572-01,666-35-1572,September,R,Gentry,,Ms.,07/21/1979,female,Black,African American,Single,Self,Welder,4095 Lake Shore Drive,,Atlanta,GA,30387,(318) 694-7200,(760) 581-8724,(940) 706-7864,Kaden Violet Justice,Friend,IV Fluid and Support,n,no,False,O-
TRICARE,000001751-01,000-00-1751,Dillon,S,Bolton,,Mr.,06/24/1958,male,Black,African American,Single,Self,Locksmith,7781 M Court,,Atlanta,GA,30325,(856) 854-2885,(432) 612-8058,(567) 858-9690,Kylee Mary Gray,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,655650000-01,655-65-0000,Madaline,B,Pittman,,Ms.,11/11/1983,female,Native American,American Indian,Single,Self,Real Estate Developer,6177 Klamath Falls Lane,,Atlanta,GA,30357,(202) 324-7241,(760) 491-4266,(337) 250-0608,Piper Irene Beach,Friend,Life Support,n,no,False,O+
TRICARE,666206785-01,666-20-6785,Hall,A,Cortez,,Mr.,09/24/1971,male,White,Portuguese,Divorced,Self,Nursemaid,635 Hemlock Circle,,Atlanta,GA,31150,(423) 368-2511,(916) 812-5948,(802) 436-5654,Burke Axel Miranda,Friend,Intubation,n,no,False,A+
TRICARE,666063881-01,666-06-3881,Brody,A,Molina,,Mr.,06/13/1970,male,White,German,Divorced,Self,Anesthesiologist,7718 Byron Drive,,Atlanta,GA,30353,(234) 516-0794,(940) 836-1103,(860) 881-9169,Cyrus Ira Riddle,Friend,CPR,n,no,False,O+
TRICARE,666104226-01,666-10-4226,Ralph,E,Bauer,,Mr.,03/17/1973,male,White,Irish,Divorced,Self,Calligrapher,9356 Lunar Drive,,Atlanta,GA,30316,(785) 204-8076,(409) 466-7004,(878) 707-7781,Raymond Vladimir Hays,Friend,CPR,n,no,False,O+
TRICARE,666804859-01,666-80-4859,Seth,E,Norris,,Mr.,03/07/1951,male,White,Irish,Widowed,Self,Presenter,4214 Birch Trail Circle,,Atlanta,GA,30379,(313) 804-1892,(571) 383-6683,(218) 422-7279,Judah Wallace Graham,Friend,Resuscitation,n,no,False,A+
TRICARE,560001244-01,560-00-1244,Buckminster,J,Barrera,,Mr.,07/25/1948,male,White,French Basque,Single,Self,Fashion Designer,94515 Seton Circle,,Atlanta,GA,30330,(731) 871-8588,(515) 716-1514,(848) 391-6968,Oliver Thane William,Friend,Resuscitation,n,no,False,O-
TRICARE,000569868-01,000-56-9868,Nicole,S,Reyes,,Ms.,03/31/1970,female,White,Slovak,Single,Self,Street Sweeper,162968 Bear Ridge Circle,,Atlanta,GA,30315,(205) 769-9414,(551) 776-2182,(229) 882-0561,Marvin Mason Doyle,Friend,Antibiotics,n,no,False,O+
TRICARE,420006922-01,420-00-6922,Jerry,J,Mcknight,,Mr.,11/03/1984,male,White,Spanish,Single,Self,Student,5637 Pinnacle Circle,,Atlanta,GA,30318,(740) 713-5160,,(660) 271-7040,Serina Jane Hampton,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,666441365-01,666-44-1365,Clarke,A,Sheppard,,Mr.,03/07/1958,male,White,Puerto Rican,Divorced,Self,Clockmaker,249 Tree Top Circle,,Atlanta,GA,30320,(310) 833-2115,(850) 764-7887,(813) 615-3567,Marshall Yasir Barton,Friend,Intubation,n,no,False,A+
TRICARE,103008409-01,103-00-8409,Lois,A,Blake,,Mrs.,05/15/1948,female,White,Anglo,Divorced,Self,Teacher,7280 Dimond Estates Trailer Court,,Atlanta,GA,30398,(760) 381-4642,(623) 211-5799,(860) 810-0514,Violet Chanda Winters,Friend,IV Fluid and Support,n,no,False,A+
TRICARE,412140000-01,412-14-0000,Malik,V,Rice,,Mr.,08/10/1952,male,White,Irish,Divorced,Self,Food Critic,3201 Seawolf Drive,,Atlanta,GA,30381,(248) 554-2539,(248) 737-1101,(541) 279-9678,Ruth Ocean Thomas,Friend,Resuscitation,n,no,False,B+
TRICARE,000091957-01,000-09-1957,Bertha,K,Gutierrez,,Mrs.,02/13/1965,female,White,Scotch-Irish,Divorced,Self,Therapist,804922 Mountain Lake Drive,,Atlanta,GA,30302,(515) 539-5723,(980) 491-9060,(425) 494-3215,Nichole Selma Hodges,Friend,CPR,n,no,False,A-
TRICARE,666399414-01,666-39-9414,Tobias,S,Adams,,Mr.,12/13/1947,male,White,Russian,Divorced,Self,Press Officer,203512 Tangle Court,,Atlanta,GA,31198,(281) 471-9524,(718) 828-2128,(608) 379-2253,Mohammad Amery Russell,Friend,Life Support,n,no,False,O+
TRICARE,335006765-01,335-00-6765,Levi,F,Wilkins,,Mr.,11/12/1965,male,White,Irish,Legally Separated,Self,Tax Collector,3451 Windy Circle,,Atlanta,GA,30336,(831) 311-7794,(308) 390-1067,(510) 871-6381,James Nicholas Meadows,Friend,IV Fluid and Support,n,no,False,O+
TRICARE,013003589-01,013-00-3589,Randall,C,Greene,,Mr.,06/14/1961,male,White,Irish,Single,Self,Lawyer,8996 Topaz Street,,Atlanta,GA,30381,(651) 210-3898,(713) 560-1661,(617) 520-2809,Courtney Eden Foster,Friend,Antibiotics,n,no,False,O+
TRICARE,000769867-01,000-76-9867,Edan,A,Bird,,Mr.,07/14/1960,male,White,French Canadian,Single,Self,Linguist,8658 Thomas Road,,Atlanta,GA,30323,(541) 892-0210,(706) 895-0800,(754) 371-6030,Amaya Beverly Cleveland,Friend,Antibiotics,n,no,False,A+
TRICARE,955750000-01,955-75-0000,Dustin,C,Beard,,Mr.,12/19/1952,male,White,Mexican,Single,Self,Cameraman,369839 Ridgeway Avenue,,Atlanta,GA,30370,(518) 387-4463,(831) 811-5631,(567) 848-6440,Colby Lucas Fernandez,Friend,Resuscitation,n,no,False,O+
TRICARE,207700000-01,207-70-0000,Kathleen,O,Reese,,Ms.,10/25/1983,female,White,German,Single,Self,Librarian,9993 Quasar Drive,,Alpharetta,GA,30009,(205) 204-0824,(435) 576-8028,(731) 838-6963,Holly Portia Benjamin,Friend,Antibiotics,n,no,False,O+
TRICARE,000548792-01,000-54-8792,Georgia,R,Fitzgerald,,Mrs.,01/19/1973,female,White,German,Widowed,Self,Gemologist,4218 Timberlane Drive,,Fairburn,GA,30213,(734) 871-3368,(762) 491-3850,(407) 700-4649,Erica MacKenzie Mcconnell,Friend,CPR,n,no,False,A+
TRICARE,117300000-01,117-30-0000,Nathaniel,B,Mccray,,Mr.,03/29/1982,male,White,German,Single,Self,Manager,3991 Orchard Place,,Atlanta,GA,31150,(716) 275-0509,(641) 871-5843,(832) 565-8720,Serina Jada Ferrell,Friend,Intubation,n,no,False,O+
TRICARE,666172130-01,666-17-2130,Denise,L,Mayo,,Mrs.,10/04/1966,female,White,Irish,Divorced,Self,Guide,7962 Melana Circle,,Atlanta,GA,30344,(903) 731-2151,(662) 254-7570,(276) 201-8092,Cullen Gray Simmons,Friend,Antibiotics,n,no,False,O+
TRICARE,000658333-01,000-65-8333,Colt,C,Morton,,Mr.,10/18/1983,male,White,Italian,Single,Self,Student,823365 Mile Hi Way,,Atlanta,GA,30369,(252) 829-1663,,(307) 254-3135,Kamal Lionel Hubbard,Friend,Intubation,n,no,False,O+
TRICARE,666170853-01,666-17-0853,Travis,R,Gomez,,Mr.,06/14/1970,male,White,German,Single,Self,Dramatist,3091 Nix Court,,Atlanta,GA,30337,(301) 291-5095,(315) 304-2520,(505) 294-9119,Colette Sarah Rodgers,Friend,Antibiotics,n,no,False,A+
TRICARE,067430000-01,067-43-0000,James,B,Lynch,,Mr.,09/20/1979,male,White,Scottish,Single,Self,Rubbish Collector,8697 West 91st Avenue,,Union City,GA,30291,(707) 448-3226,(469) 760-1423,(208) 876-5587,Cooper Linus Good,Friend,Resuscitation,n,no,False,O+
TRICARE,787960000-01,787-96-0000,Rowan,Q,Gray,,Mrs.,11/04/1951,female,Black,African American,Legally Separated,Self,Public Speaker,2495 Juniper Street,,Atlanta,GA,30358,(956) 636-4113,(574) 553-6211,(302) 898-3877,Marshall Igor Nichols,Friend,Intubation,n,no,False,A+
TRICARE,802001361-01,802-00-1361,Alyssa,D,Justice,,Mrs.,05/01/1957,female,Asian,Korean,Widowed,Self,Lead Worker,4647 Arlington Drive North,,Atlanta,GA,30316,(949) 247-7211,(774) 305-1702,(904) 459-5034,Risa Lavinia Woods,Friend,Resuscitation,n,no,False,B+
TRICARE,666849638-01,666-84-9638,Maryam,E,Case,,Mrs.,01/31/1949,female,White,English,Divorced,Self,Ergonomist,2133 Stephanie Circle,,Atlanta,GA,30386,(405) 555-8758,(517) 407-1001,(310) 493-0716,Jack Luke Dominguez,Friend,CPR,n,no,False,O+
TRICARE,714009070-01,714-00-9070,Hedwig,S,Haynes,,Mrs.,07/26/1959,female,White,Irish,Married,Self,Furrier,668 Laura Circle,,Atlanta,GA,30301,(845) 787-8575,(417) 493-5422,(845) 787-8575,Thaddeus Elliott Haynes,Spouse,Antibiotics,n,no,False,A+
TRICARE,714009070-02,450-00-8965,Thaddeus,E,Haynes,,Mr.,10/15/1966,male,Black,African American,Married,Husband,Butler,668 Laura Circle,,Atlanta,GA,30301,(845) 787-8575,(704) 564-6231,(845) 787-8575,Hedwig Sarah Haynes,Spouse,Resuscitation,n,no,False,A+
TRICARE,000136865-01,000-13-6865,Nina,U,Holloway,,Ms.,01/06/1965,female,White,Irish,Single,Self,Statistician,9259 Dogwood Street,,Atlanta,GA,30380,(561) 338-7913,(248) 380-3949,(217) 891-0002,Willow Wyoming Cummings,Friend,Resuscitation,n,no,False,A+
TRICARE,666638286-01,666-63-8286,Yen,W,Lancaster,,Ms.,08/30/1981,female,White,English,Single,Self,Brain Surgeon,3952 Donnie Drive,,Atlanta,GA,30384,(845) 205-1589,(989) 752-4783,(810) 300-5382,Vernon Zachery Phelps,Friend,IV Fluid and Support,n,no,False,A+
TRICARE,050770000-01,050-77-0000,Bradley,A,Sheppard,,Mr.,05/15/1959,male,White,Scotch-Irish,Divorced,Self,Editor,611029 Haricot Drive,,Atlanta,GA,31139,(754) 805-6622,(857) 683-2486,(769) 767-1072,Julie Cleo Middleton,Friend,Life Support,n,no,False,A+
TRICARE,492950000-01,492-95-0000,Nina,D,Jordan,,Ms.,07/27/1948,female,White,Greek,Single,Self,Police Office,5217 Valley Brook Circle,,Atlanta,GA,30349,(415) 546-0473,(703) 499-7759,(248) 764-0537,Raya Desiree Wynn,Friend,Life Support,n,no,False,O+
