Provider_Org,Provider_ID,Provider_NPI,Facility_Name,Specialty,Name,Class,Location,DOB,Sex,Supervision_Required,Person_ID,Primary_Clinic_Location
ExactData Medical Health System,760599168,1100948775,,OTORHINOLARYNGOLOGY,"Colette W Scott, PA-C",PHYSICIAN ASSISTANT,Allergy Associates,01/27/1965,female,no,666296086,Allergy Associates
ExactData Medical Health System,961879070,2384367021,,FAMILY PRACTICE/PRIMARY CARE,"Ezekiel B Madden, PA-C",PHYSICIAN ASSISTANT,Ingalls Family Care Center,11/26/1970,male,no,666599557,Ingalls Family Care Center
ExactData Medical Health System,443945623,1190782043,,,Reese A Cooper,LAB TECH,First Choice Medical Urgent,12/11/1946,male,no,000205567,First Choice Medical Urgent
ExactData Medical Health System,503701033,2611382876,,PULMONARY DISEASE,"Priscilla I Smith, MD",PHYSICIAN,Community Health Clinic,08/27/1943,female,no,194002056,Community Health Clinic
ExactData Medical Health System,369259082,1789029723,,FAMILY PRACTICE/PRIMARY CARE,"Nicholas D Roach, MD",PHYSICIAN,Riverside Medical Associates,10/28/1961,male,no,565390000,Riverside Medical Associates
ExactData Medical Health System,426881524,1185564208,,,"Eliana P Norton, RPh",PHARMACIST,CVS,03/07/1952,female,no,666001853,CVS
ExactData Medical Health System,361051613,2728975547,,,Echo D Bonner,LAB TECH,Keats Labs,06/10/1951,female,no,181830000,Keats Labs
ExactData Medical Health System,949974847,2056627165,,FAMILY PRACTICE/PRIMARY CARE,"Slade H Benjamin, PA-C",PHYSICIAN ASSISTANT,Joel Wilkerson MD,02/13/1977,male,no,546240000,Joel Wilkerson MD
ExactData Medical Health System,497249592,2050756697,,,"Troy H Bender, RPh",PHARMACIST,Corner Drug Store,04/26/1957,male,no,666057873,Corner Drug Store
ExactData Medical Health System,566204774,1087161681,,,Fulton J Lott,LAB TECH,Mitchell Health,10/09/1940,male,no,000780984,Mitchell Health
ExactData Medical Health System,157325665,2343811978,,ONCOLOGY,"Shoshana S Vincent, PA-C",PHYSICIAN ASSISTANT,Wellness Center Treament Center,07/19/1962,female,no,617006233,Wellness Center Treament Center
ExactData Medical Health System,237751083,1998604316,,OTORHINOLARYNGOLOGY,"Benjamin W Harmon, NP",NURSE PRACTITIONER,The Headache Treatement Center,01/30/1950,male,no,666596181,The Headache Treatement Center
ExactData Medical Health System,914123999,1975912682,,EMERGENCY MEDICINE,"Griffith M Kennedy, MD",PHYSICIAN,Harvey Trauma Center,05/12/1966,male,no,994002054,Harvey Trauma Center
ExactData Medical Health System,461279122,2982051910,,EMERGENCY MEDICINE,"Madonna M Whitley, MD",PHYSICIAN,Samaritan Medical Center,09/20/1969,female,no,000947764,Samaritan Medical Center
ExactData Medical Health System,541942710,2390243984,,FAMILY PRACTICE/PRIMARY CARE,"Nadine T Johns, MD",PHYSICIAN,Nanako Broughton MD PLLC,08/03/1954,female,no,666410019,Nanako Broughton MD PLLC
ExactData Medical Health System,127721738,1301036941,,,Drew L Watts,LAB TECH,Hubble Diagnostic,11/29/1950,male,no,050005140,Hubble Diagnostic
ExactData Medical Health System,798289209,1761234754,,,"Macaulay J Donovan, RPh",PHARMACIST,Pasteur Pharmacy & Surgical,07/26/1976,male,no,144002674,Pasteur Pharmacy & Surgical
ExactData Medical Health System,974235945,2690722471,,ONCOLOGY,"Neil C Dillon, MD",PHYSICIAN,Horizon Oncology,09/20/1944,male,no,325470000,Horizon Oncology
ExactData Medical Health System,552847346,2438993780,,CARDIOLOGY,"Raja J Bates, NP",NURSE PRACTITIONER,Heartbeat Cardiovascular  Center,04/09/1948,male,no,015003281,Heartbeat Cardiovascular  Center
ExactData Medical Health System,208928234,2280998556,,OTORHINOLARYNGOLOGY,"Steven A Ramsey, MD",PHYSICIAN,Main Street ENT Associates,05/27/1940,male,no,000022414,Main Street ENT Associates
ExactData Medical Health System,374686003,1999217654,,PULMONARY DISEASE,"Ali C Mccullough, MD",PHYSICIAN,Community Health Clinic,10/13/1963,male,no,000934176,Community Health Clinic
ExactData Medical Health System,985244238,2697494702,,PULMONARY DISEASE,"Hall C Greer, NP",NURSE PRACTITIONER,Community Health Clinic,03/09/1977,male,no,666394718,Community Health Clinic
ExactData Medical Health System,164341497,1754626263,,SURGERY,"Karina P Norris, MD",PHYSICIAN,Trover Health System,09/20/1968,female,no,000444137,Trover Health System
ExactData Medical Health System,318150039,2779030697,,FAMILY PRACTICE/PRIMARY CARE,"Rogan Y Lucas, MD",PHYSICIAN,Advocate Medical Group,02/20/1950,male,no,000584088,Advocate Medical Group
ExactData Medical Health System,649854779,1410894925,,ENDOCRINOLOGY,"Malcolm K Merritt, PA-C",PHYSICIAN ASSISTANT,Roche Diabetes Treatment Center,10/03/1965,male,no,666677003,Roche Diabetes Treatment Center
ExactData Medical Health System,226753584,1861003315,,,Clinton O Adams,LAB TECH,Jenner Diagnostic Labs,12/10/1954,male,no,903330000,Jenner Diagnostic Labs
ExactData Medical Health System,796898094,2652987732,,EMERGENCY MEDICINE,"Ryan A Gonzalez, PA-C",PHYSICIAN ASSISTANT,Community Memorial Hospital,01/05/1947,male,no,000951545,Community Memorial Hospital
ExactData Medical Health System,511673334,2808402149,,ONCOLOGY,"Kaseem F Foley, NP",NURSE PRACTITIONER,Wellness Center Treament Center,04/14/1943,male,no,036008990,Wellness Center Treament Center
ExactData Medical Health System,644360360,2050076930,,CARDIOLOGY,"Thomas J Woods, PA-C",PHYSICIAN ASSISTANT,Center for High Blood Pressure,04/01/1949,male,no,770180000,Center for High Blood Pressure
ExactData Medical Health System,391451562,1999260985,,EMERGENCY MEDICINE,"Uma G Casey, PA-C",PHYSICIAN ASSISTANT,Northern Dutchess Hospital,04/22/1963,female,no,000559947,Northern Dutchess Hospital
ExactData Medical Health System,892958683,2919846978,,NEPHROLOGY,"Oleg C Moreno, PA-C",PHYSICIAN ASSISTANT,Center for Kidney Disorders,09/01/1975,male,no,883000761,Center for Kidney Disorders
ExactData Medical Health System,885267918,2863767055,,ONCOLOGY,"Fatima P Baird, PA-C",PHYSICIAN ASSISTANT,Horizon Oncology,03/18/1970,female,no,000679293,Horizon Oncology
ExactData Medical Health System,543720812,2931278754,,,"Emery T Boyle, RPh",PHARMACIST,Fast Script Pharmacy,11/15/1966,male,no,783970000,Fast Script Pharmacy
ExactData Medical Health System,927219174,2138544917,,ONCOLOGY,"Brendan B Smith, NP",NURSE PRACTITIONER,Center for Cancer Treatment,06/20/1959,male,no,000338823,Center for Cancer Treatment
ExactData Medical Health System,881672284,1046706196,,NEPHROLOGY,"Castor R Green, PA-C",PHYSICIAN ASSISTANT,Kidney Center of Excellence,07/23/1948,male,no,666674771,Kidney Center of Excellence
ExactData Medical Health System,671815302,2364641577,,ENDOCRINOLOGY,"William C Moore, NP",NURSE PRACTITIONER,Endocrinology & Diabetes Care Center,06/29/1973,male,no,000135104,Endocrinology & Diabetes Care Center
ExactData Medical Health System,439168230,1603700699,,ONCOLOGY,"Brianna W Keller, MD",PHYSICIAN,Center for Cancer Treatment,05/04/1974,female,no,000327609,Center for Cancer Treatment
ExactData Medical Health System,528341974,2972157057,,,"Axel M Trevino, RPh",PHARMACIST,Union Pharmacy,08/31/1945,male,no,768910000,Union Pharmacy
ExactData Medical Health System,146286240,1465162574,,SURGERY,"Ivy B Jarvis, MD",PHYSICIAN,Martin Memorial Medical Center,07/17/1967,female,no,503000936,Martin Memorial Medical Center
ExactData Medical Health System,298723901,1835898022,,SURGERY,"Ginger C Cain, MD",PHYSICIAN,Advocate Illinois Masonic Medical Center,01/03/1942,female,no,666849952,Advocate Illinois Masonic Medical Center
ExactData Medical Health System,852397076,1881734477,,CARDIOLOGY,"Nicole S Ayers, PA-C",PHYSICIAN ASSISTANT,Heart Care Clinic,06/07/1960,female,no,900800000,Heart Care Clinic
ExactData Medical Health System,385860145,2044132047,,EMERGENCY MEDICINE,"Hadassah C Thomas, PA-C",PHYSICIAN ASSISTANT,Samaritan Medical Center,02/07/1970,female,no,225150000,Samaritan Medical Center
ExactData Medical Health System,865962765,2160699753,,EMERGENCY MEDICINE,"Neve M Delgado, PA-C",PHYSICIAN ASSISTANT,Meadows Medical,12/14/1948,female,no,000580617,Meadows Medical
ExactData Medical Health System,313765428,2524637929,,SURGERY,"Jackson W Witt, MD",PHYSICIAN,Lake Whitney Medical Center,09/21/1941,male,no,000040328,Lake Whitney Medical Center
ExactData Medical Health System,321001261,1938039987,,OTORHINOLARYNGOLOGY,"Sybill O Cash, NP",NURSE PRACTITIONER,Center for Dyslexia,11/18/1954,female,no,952003940,Center for Dyslexia
ExactData Medical Health System,181578497,1852051877,,PULMONARY DISEASE,"Amena G Delaney, PA-C",PHYSICIAN ASSISTANT,Community Health Clinic,03/15/1960,female,no,655008650,Community Health Clinic
ExactData Medical Health System,519625726,2142379680,,EMERGENCY MEDICINE,"Rhiannon B Cash, NP",NURSE PRACTITIONER,Liberty Health,03/13/1967,female,no,666580458,Liberty Health
ExactData Medical Health System,135184463,2230737575,,SURGERY,"Sade U Buchanan, MD",PHYSICIAN,UC San Diego Medical Center - Hillcrest,09/27/1945,female,no,000580093,UC San Diego Medical Center - Hillcrest
ExactData Medical Health System,656282096,1084573565,,CARDIOLOGY,"Harrison R Sims, MD",PHYSICIAN,Hospital Cardiology,11/11/1976,male,no,370006043,Hospital Cardiology
ExactData Medical Health System,216326079,1586639336,,SURGERY,"Chanda T Rich, MD",PHYSICIAN,Desert Valley Hospital,03/21/1952,female,no,417005844,Desert Valley Hospital
ExactData Medical Health System,641596971,2234295984,,NEPHROLOGY,"Uriel H Peck, PA-C",PHYSICIAN ASSISTANT,Nephrology Treatment Center,03/09/1951,male,no,000622093,Nephrology Treatment Center
ExactData Medical Health System,925999857,1730291455,,OTORHINOLARYNGOLOGY,"Wang D Randall, NP",NURSE PRACTITIONER,Westside Ear Nose and Throat and Facial Plastic Surgery Center,12/30/1965,male,no,000933178,Westside Ear Nose and Throat and Facial Plastic Surgery Center
ExactData Medical Health System,905462418,2528786755,,PULMONARY DISEASE,"Hamilton C Cleveland, NP",NURSE PRACTITIONER,Community Health Clinic,10/23/1978,male,no,754001860,Community Health Clinic
ExactData Medical Health System,517598228,1835983667,,OTORHINOLARYNGOLOGY,"Naomi T Best, MD",PHYSICIAN,Allergy Associates,03/16/1940,female,no,666897428,Allergy Associates
ExactData Medical Health System,483197538,2781852955,,EMERGENCY MEDICINE,"Howard C Sweet, PA-C",PHYSICIAN ASSISTANT,Family Health,11/10/1963,male,no,462004462,Family Health
ExactData Medical Health System,490623772,2212466607,,OTORHINOLARYNGOLOGY,"Tanner A Frazier, NP",NURSE PRACTITIONER,Hospital Neuroscience Institute,06/20/1962,male,no,340690000,Hospital Neuroscience Institute
ExactData Medical Health System,442393237,2850510096,,PULMONARY DISEASE,"Olympia J Wright, PA-C",PHYSICIAN ASSISTANT,Community Health Clinic,06/12/1941,female,no,325000303,Community Health Clinic
ExactData Medical Health System,876533117,2452466499,,OTORHINOLARYNGOLOGY,"Walter L Stevens, MD",PHYSICIAN,Interventional ENT Group,01/11/1978,male,no,725000000,Interventional ENT Group
ExactData Medical Health System,514645779,1065397083,,CARDIOLOGY,"Colby S Tanner, PA-C",PHYSICIAN ASSISTANT,Center for High Blood Pressure,08/23/1974,male,no,666523940,Center for High Blood Pressure
ExactData Medical Health System,160261913,2077778799,,SURGERY,"Hoyt J Clark, MD",PHYSICIAN,Northeast Georgia Medical Center,06/24/1941,male,no,096630000,Northeast Georgia Medical Center
ExactData Medical Health System,874747693,2712851092,,CARDIOLOGY,"Shelly T Mercado, NP",NURSE PRACTITIONER,Cardiology Associates,09/04/1967,female,no,666823124,Cardiology Associates
ExactData Medical Health System,303553382,2077618094,,NEPHROLOGY,"Blaine N Hammond, NP",NURSE PRACTITIONER,Nephrology Associates,02/06/1953,male,no,666741578,Nephrology Associates
ExactData Medical Health System,684948324,2349415618,,ENDOCRINOLOGY,"Ariel I Booth, MD",PHYSICIAN,Diabetes Treatment Center,06/24/1949,female,no,000787341,Diabetes Treatment Center
ExactData Medical Health System,359170366,2470752102,,FAMILY PRACTICE/PRIMARY CARE,"Benjamin H Scott, MD",PHYSICIAN,Key Medical Group,12/08/1980,male,no,000599056,Key Medical Group
ExactData Medical Health System,235067844,1832380305,,ORTHOPEDICS,"Thaddeus N Moore, MD",PHYSICIAN,Emory University Orthopaedics and Spine Hospital,12/04/1968,male,no,639003503,Emory University Orthopaedics and Spine Hospital
ExactData Medical Health System,901784568,2792774990,,ORTHOPEDICS,"Nell K Goff, MD",PHYSICIAN,Duke University Medical Center,10/05/1955,female,no,454440000,Duke University Medical Center
ExactData Medical Health System,391161003,1724868888,,"THERAPY, PHYSICAL","Aphrodite A Jacobson, PT",PHYSICAL THERAPIST,Community Health Clinic,11/29/1966,female,no,000924793,Community Health Clinic
ExactData Medical Health System,756876968,2906795121,,,"Kerry B Mcdowell, RPh",PHARMACIST,HealthCare Pharmacy,04/05/1954,female,no,042000039,HealthCare Pharmacy
ExactData Medical Health System,721589246,2927647749,,ONCOLOGY,"Nelle G Lester, PA-C",PHYSICIAN ASSISTANT,Wellness Center Treament Center,01/10/1974,female,no,049820000,Wellness Center Treament Center
ExactData Medical Health System,287343744,2287180612,,,Amena K Lee,LAB TECH,Osler Diagnostic,05/04/1968,female,no,147001540,Osler Diagnostic
ExactData Medical Health System,350327113,2969012570,,OTORHINOLARYNGOLOGY,"Rahim H Morris, MD",PHYSICIAN,The Headache Treatement Center,08/09/1944,male,no,666824610,The Headache Treatement Center
ExactData Medical Health System,627585113,2678764115,,PULMONARY DISEASE,"Nicole J Christensen, NP",NURSE PRACTITIONER,Community Health Clinic,06/12/1974,female,no,941860000,Community Health Clinic
ExactData Medical Health System,108581560,1496540806,,ORTHOPEDICS,"Dillon W James, MD",PHYSICIAN,Mon General Hospital,10/13/1979,male,no,000340546,Mon General Hospital
ExactData Medical Health System,836240679,1410351900,,,"Riley R Pennington, RPh",PHARMACIST,Hall Pharmacy,11/21/1975,female,no,000453252,Hall Pharmacy
ExactData Medical Health System,971617287,1107527358,,,Harlan E Marks,LAB TECH,Kety Medical Services,07/21/1954,male,no,126300000,Kety Medical Services
ExactData Medical Health System,392172508,2351651795,,"THERAPY, PHYSICAL","Destiny J Langley, PT",PHYSICAL THERAPIST,Community Health Clinic,02/18/1940,female,no,779610000,Community Health Clinic
ExactData Medical Health System,302082395,2951857503,,PULMONARY DISEASE,"Alana C Riggs, PA-C",PHYSICIAN ASSISTANT,Community Health Clinic,02/07/1941,female,no,000156528,Community Health Clinic
ExactData Medical Health System,842109624,2981319771,,EMERGENCY MEDICINE,"Tatiana T Bowers, MD",PHYSICIAN,General Hospital,05/21/1952,female,no,052006190,General Hospital
ExactData Medical Health System,185133775,1261468969,,ORTHOPEDICS,"Benedict C Maddox, MD",PHYSICIAN,Emory University Orthopaedics and Spine Hospital,07/20/1978,male,no,000613930,Emory University Orthopaedics and Spine Hospital
ExactData Medical Health System,973944461,2671712103,,ENDOCRINOLOGY,"Damon L Richards, NP",NURSE PRACTITIONER,Roche Diabetes Treatment Center,07/09/1969,male,no,666745562,Roche Diabetes Treatment Center
ExactData Medical Health System,337040174,1319454870,,EMERGENCY MEDICINE,"Chaney C Ferguson, NP",NURSE PRACTITIONER,Gray Urgent Care,02/14/1958,male,no,666712267,Gray Urgent Care
ExactData Medical Health System,600499252,1786983435,,ENDOCRINOLOGY,"Jarrod V Hyde, PA-C",PHYSICIAN ASSISTANT,University Diabetes Care,09/29/1977,male,no,000449840,University Diabetes Care
ExactData Medical Health System,359424956,1807607237,,OTORHINOLARYNGOLOGY,"Jacob W Gomez, NP",NURSE PRACTITIONER,Westside Ear Nose and Throat and Facial Plastic Surgery Center,02/12/1958,male,no,759001146,Westside Ear Nose and Throat and Facial Plastic Surgery Center
ExactData Medical Health System,695637255,2113903047,,FAMILY PRACTICE/PRIMARY CARE,"Zeph C Daniels, PA-C",PHYSICIAN ASSISTANT,Riverside Medical Associates,06/30/1978,male,no,666692968,Riverside Medical Associates
ExactData Medical Health System,470219750,2801799525,,ONCOLOGY,"Francis E Love, NP",NURSE PRACTITIONER,Oncology Associates,02/07/1980,male,no,216007451,Oncology Associates
ExactData Medical Health System,968807675,2916922038,,OTORHINOLARYNGOLOGY,"Zane P Rush, PA-C",PHYSICIAN ASSISTANT,Hospital Neuroscience Institute,06/30/1941,male,no,859460000,Hospital Neuroscience Institute
ExactData Medical Health System,310075928,2207843687,,CARDIOLOGY,"Jacqueline T Owen, PA-C",PHYSICIAN ASSISTANT,Center for High Blood Pressure,07/19/1945,female,no,666443930,Center for High Blood Pressure
ExactData Medical Health System,859476085,1327777247,,SURGERY,"Xavier C Mosley, MD",PHYSICIAN,St. Elizabeth Boardman Health Center,06/05/1957,male,no,570650000,St. Elizabeth Boardman Health Center
ExactData Medical Health System,719850140,2375821283,,CARDIOLOGY,"Samson B Lawrence, PA-C",PHYSICIAN ASSISTANT,Hospital Cardiology,11/02/1959,male,no,706002553,Hospital Cardiology
ExactData Medical Health System,878941121,2796641153,,CARDIOLOGY,"Jason D Cantu, PA-C",PHYSICIAN ASSISTANT,Heartbeat Cardiovascular  Center,05/01/1954,male,no,000778751,Heartbeat Cardiovascular  Center
ExactData Medical Health System,241287670,1816182354,,NEPHROLOGY,"Alden T Garrett, NP",NURSE PRACTITIONER,Nephrology Associates,03/02/1970,male,no,252600000,Nephrology Associates
ExactData Medical Health System,952189502,1951164365,,CARDIOLOGY,"Jordan F Welch, MD",PHYSICIAN,Cardiology Associates,12/24/1959,female,no,000927970,Cardiology Associates
ExactData Medical Health System,661074384,2261372987,,EMERGENCY MEDICINE,"William F Gray, NP",NURSE PRACTITIONER,Xpress Medical Care,06/17/1965,male,no,000299292,Xpress Medical Care
ExactData Medical Health System,243838616,2899390534,,PULMONARY DISEASE,"Diana K Sherman, NP",NURSE PRACTITIONER,Community Health Clinic,07/25/1946,female,no,348770000,Community Health Clinic
ExactData Medical Health System,366795942,1888991351,,NEPHROLOGY,"Drew S Chen, MD",PHYSICIAN,Nephrology Associates,03/20/1974,male,no,888450000,Nephrology Associates
ExactData Medical Health System,705428362,1848934590,,SURGERY,"Jessica X Mccarthy, MD",PHYSICIAN,University Medical Center,10/07/1955,female,no,666271310,University Medical Center
ExactData Medical Health System,965848463,1379318601,,EMERGENCY MEDICINE,"Forrest K Wynn, PA-C",PHYSICIAN ASSISTANT,Extended Medical Services,04/19/1977,male,no,000929450,Extended Medical Services
ExactData Medical Health System,498801843,1513375806,,CARDIOLOGY,"Iris P Bird, NP",NURSE PRACTITIONER,Cardiology Associates,03/12/1945,female,no,000755883,Cardiology Associates
ExactData Medical Health System,466050839,2504304631,,NEPHROLOGY,"Carly S Mcleod, NP",NURSE PRACTITIONER,Nephrology Treatment Center,05/26/1980,female,no,372008457,Nephrology Treatment Center
ExactData Medical Health System,485495662,1988299853,,NEPHROLOGY,"Robert S Frazier, PA-C",PHYSICIAN ASSISTANT,Nephrology Treatment Center,03/03/1970,male,no,000373947,Nephrology Treatment Center
ExactData Medical Health System,989332517,1323813004,,ENDOCRINOLOGY,"Ria W Franklin, PA-C",PHYSICIAN ASSISTANT,Roche Diabetes Treatment Center,03/21/1978,female,no,481450000,Roche Diabetes Treatment Center
ExactData Medical Health System,473689418,2278258369,,SURGERY,"Murphy H Griffin, MD",PHYSICIAN,Buffalo Hospital,07/15/1958,male,no,666990958,Buffalo Hospital
ExactData Medical Health System,750864896,1798449680,,PULMONARY DISEASE,"Wyoming J Harrington, PA-C",PHYSICIAN ASSISTANT,Community Health Clinic,03/11/1966,female,no,666892447,Community Health Clinic
ExactData Medical Health System,482927414,1335004808,,ENDOCRINOLOGY,"Halee K Sloan, PA-C",PHYSICIAN ASSISTANT,Roche Diabetes Treatment Center,12/18/1948,female,no,000658870,Roche Diabetes Treatment Center
ExactData Medical Health System,360052191,2421910668,,ENDOCRINOLOGY,"Keaton L Mckinney, NP",NURSE PRACTITIONER,University Diabetes Care,02/12/1977,male,no,680710000,University Diabetes Care
ExactData Medical Health System,619871282,2922660135,,OB/GYN,"Ruth D Cooley, PA-C",PHYSICIAN ASSISTANT,Beaches Medical Center,01/04/1976,female,no,000855003,Beaches Medical Center
ExactData Medical Health System,777687232,2710001591,,NEPHROLOGY,"Nichole M Hammond, NP",NURSE PRACTITIONER,Nephrology Associates,09/28/1980,female,no,000709118,Nephrology Associates
ExactData Medical Health System,191544728,1189432469,,OB/GYN,"Jacob T Gallegos, NP",NURSE PRACTITIONER,Grace Community Health Center,10/19/1971,male,no,666859480,Grace Community Health Center
ExactData Medical Health System,976655896,1313903674,,ENDOCRINOLOGY,"Kaden F Stuart, NP",NURSE PRACTITIONER,University Diabetes Care,03/25/1957,male,no,139260000,University Diabetes Care
ExactData Medical Health System,393276431,1402502270,,OB/GYN,"John T Fleming, MD",PHYSICIAN,Guthrie Medical Group,10/03/1972,male,no,000998627,Guthrie Medical Group
ExactData Medical Health System,322487833,1707301915,,EMERGENCY MEDICINE,"Evangeline S Adkins, PA-C",PHYSICIAN ASSISTANT,St Vincent Womens Hospital,03/13/1964,female,no,857001506,St Vincent Womens Hospital
ExactData Medical Health System,993423224,2217752712,,OB/GYN,"Chantale E Horton, MD",PHYSICIAN,Sacred Heart Medical Centre,03/12/1947,female,no,000283256,Sacred Heart Medical Centre
ExactData Medical Health System,482403174,1870395876,,EMERGENCY MEDICINE,"Russell K Marks, PA-C",PHYSICIAN ASSISTANT,Immediate Care,01/31/1973,male,no,033160000,Immediate Care
ExactData Medical Health System,305663980,1917369249,,FAMILY PRACTICE/PRIMARY CARE,"Brynn N Kane, PA-C",PHYSICIAN ASSISTANT,National Integrated Health Associates,01/16/1979,female,no,161008984,National Integrated Health Associates
ExactData Medical Health System,935580163,1311379109,,"THERAPY, PHYSICAL","Jamalia A Conrad, PT",PHYSICAL THERAPIST,Community Health Clinic,10/20/1959,female,no,000735649,Community Health Clinic
ExactData Medical Health System,906880994,2220745752,,ORTHOPEDICS,"Keiko G Palmer, MD",PHYSICIAN,Gundersen Lutheran Medical Center,07/18/1954,female,no,666622887,Gundersen Lutheran Medical Center
ExactData Medical Health System,232610280,2487150472,,,Cassady Y Jones,LAB TECH,Doyle Labs,11/27/1977,female,no,559760000,Doyle Labs
ExactData Medical Health System,903487519,1274192291,,,"Burton K Bowen, RPh",PHARMACIST,Plaza Pharmacy,12/02/1953,male,no,016008594,Plaza Pharmacy
ExactData Medical Health System,822365882,1100207388,,PULMONARY DISEASE,"Zephr L Hayes, PA-C",PHYSICIAN ASSISTANT,Community Health Clinic,02/11/1949,female,no,710008787,Community Health Clinic
ExactData Medical Health System,591997246,1641827017,,ORTHOPEDICS,"Kay A Potts, MD",PHYSICIAN,McLaren Orthopedic Hospital,05/19/1962,female,no,000844901,McLaren Orthopedic Hospital
ExactData Medical Health System,943331616,1305579045,,SURGERY,"Chaim N Rice, MD",PHYSICIAN,St. Elizabeth Community Hospital,10/21/1943,male,no,802008957,St. Elizabeth Community Hospital
ExactData Medical Health System,111094519,2025275849,,ONCOLOGY,"Aristotle V Gay, NP",NURSE PRACTITIONER,Horizon Oncology,04/26/1952,male,no,723000238,Horizon Oncology
ExactData Medical Health System,766810714,1944779402,,CARDIOLOGY,"Britanni M Alford, MD",PHYSICIAN,Heart Care Clinic,06/30/1948,female,no,666530257,Heart Care Clinic
